Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
6.16,0.1025,0.0033,,,,,,,,,,,,,,,
6.18,0.1029,0.003,,,,,,,,,,,,,,,
6.2,0.1031,0.0036,,,,,,,,,,,,,,,
6.22,0.1033,0.0015,,,,,,,,,,,,,,,
6.24,0.1037,0.0039,,,,,,,,,,,,,,,
6.26,0.1042,0.0038,,,,,,,,,,,,,,,
6.28,0.1046,0.0042,,,,,,,,,,,,,,,
6.3,0.105,0.0043,,,,,,,,,,,,,,,
6.32,0.1052,0.003,,,,,,,,,,,,,,,
6.34,0.1056,0.0052,,,,,,,,,,,,,,,
6.36,0.1058,0.0036,,,,,,,,,,,,,,,
6.38,0.1062,0.0027,,,,,,,,,,,,,,,
6.4,0.1067,0.0033,,,,,,,,,,,,,,,
6.42,0.1071,0.003,,,,,,,,,,,,,,,
6.44,0.1073,0.0033,,,,,,,,,,,,,,,
6.46,0.1077,0.0045,,,,,,,,,,,,,,,
6.48,0.1081,0.0033,,,,,,,,,,,,,,,
6.5,0.1085,0.0042,,,,,,,,,,,,,,,
6.52,0.1087,0.0042,,,,,,,,,,,,,,,
6.54,0.1092,0.0026,,,,,,,,,,,,,,,
6.56,0.1094,0.0033,,,,,,,,,,,,,,,
6.58,0.1098,0.0037,,,,,,,,,,,,,,,
6.6,0.1102,0.0029,,,,,,,,,,,,,,,
6.62,0.1104,0.0038,,,,,,,,,,,,,,,
6.64,0.1108,0.0027,,,,,,,,,,,,,,,
6.66,0.1112,0.0036,,,,,,,,,,,,,,,
6.68,0.1115,0.0047,,,,,,,,,,,,,,,
6.7,0.1119,0.0025,,,,,,,,,,,,,,,
6.72,0.1121,0.0045,,,,,,,,,,,,,,,
6.74,0.1125,0.0041,,,,,,,,,,,,,,,
6.76,0.1127,0.0014,,,,,,,,,,,,,,,
6.78,0.1131,0.0013,,,,,,,,,,,,,,,
6.8,0.1133,0.0009,,,,,,,,,,,,,,,
6.82,0.1137,0.0011,,,,,,,,,,,,,,,
6.84,0.1142,0.0012,,,,,,,,,,,,,,,
6.86,0.1144,0.0027,,,,,,,,,,,,,,,
6.88,0.1148,0.0034,,,,,,,,,,,,,,,
6.9,0.1152,0.0025,,,,,,,,,,,,,,,
6.92,0.1154,0.0004,,,,,,,,,,,,,,,
6.94,0.1158,0.0008,,,,,,,,,,,,,,,
6.96,0.116,0.0014,,,,,,,,,,,,,,,
6.98,0.1165,0.0006,,,,,,,,,,,,,,,
7,0.1169,0.0013,,,,,,,,,,,,,,,
7.02,0.1171,0.0004,,,,,,,,,,,,,,,
7.04,0.1175,0.0017,,,,,,,,,,,,,,,
7.06,0.1177,0.0022,,,,,,,,,,,,,,,
7.08,0.1181,0.0004,,,,,,,,,,,,,,,
7.1,0.1185,0.0025,,,,,,,,,,,,,,,
7.12,0.1187,0.003,,,,,,,,,,,,,,,
7.14,0.1192,0.0031,,,,,,,,,,,,,,,
7.16,0.1196,0.0043,,,,,,,,,,,,,,,
7.18,0.1198,0.0029,,,,,,,,,,,,,,,
7.2,0.1202,0.0031,,,,,,,,,,,,,,,
7.22,0.1204,0.0036,,,,,,,,,,,,,,,
7.24,0.1208,0.0034,,,,,,,,,,,,,,,
7.26,0.1212,0.004,,,,,,,,,,,,,,,
7.28,0.1215,0.0034,,,,,,,,,,,,,,,
