Time,Displacement,Force,,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,,
7.64,0.1273,0.0014,,,,,,,,,,,,,,,,,,,
7.66,0.1275,0.0018,,,,,,,,,,,,,,,,,,,
7.68,0.1279,0.0015,,,,,,,,,,,,,,,,,,,
7.7,0.1283,0.0016,,,,,,,,,,,,,,,,,,,
7.72,0.1285,0.0018,,,,,,,,,,,,,,,,,,,
7.74,0.129,0.0013,,,,,,,,,,,,,,,,,,,
7.76,0.1294,-0.0001,,,,,,,,,,,,,,,,,,,
7.78,0.1296,0.0021,,,,,,,,,,,,,,,,,,,
7.8,0.1298,0.0013,,,,,,,,,,,,,,,,,,,
7.82,0.1302,-0.0002,,,,,,,,,,,,,,,,,,,
7.84,0.1306,0.0018,,,,,,,,,,,,,,,,,,,
7.86,0.131,0.0004,,,,,,,,,,,,,,,,,,,
7.88,0.1312,0.0017,,,,,,,,,,,,,,,,,,,
7.9,0.1317,0.0017,,,,,,,,,,,,,,,,,,,
7.92,0.1319,0,,,,,,,,,,,,,,,,,,,
7.94,0.1323,0.0011,,,,,,,,,,,,,,,,,,,
7.96,0.1327,0.0016,,,,,,,,,,,,,,,,,,,
7.98,0.1329,0.0014,,,,,,,,,,,,,,,,,,,
8,0.1333,0.0017,,,,,,,,,,,,,,,,,,,
8.02,0.1337,0.0013,,,,,,,,,,,,,,,,,,,
8.04,0.1342,0.0007,,,,,,,,,,,,,,,,,,,
8.06,0.1344,0.0017,,,,,,,,,,,,,,,,,,,
8.08,0.1348,0.0019,,,,,,,,,,,,,,,,,,,
8.1,0.135,0.0009,,,,,,,,,,,,,,,,,,,
8.12,0.1354,0.0018,,,,,,,,,,,,,,,,,,,
8.14,0.1358,0.001,,,,,,,,,,,,,,,,,,,
8.16,0.1362,0.0021,,,,,,,,,,,,,,,,,,,
8.18,0.1365,0.0017,,,,,,,,,,,,,,,,,,,
8.2,0.1369,0.0004,,,,,,,,,,,,,,,,,,,
8.22,0.1373,0.0015,,,,,,,,,,,,,,,,,,,
8.24,0.1375,0.0014,,,,,,,,,,,,,,,,,,,
8.26,0.1379,0.0021,,,,,,,,,,,,,,,,,,,
8.28,0.1381,0.0025,,,,,,,,,,,,,,,,,,,
8.3,0.1385,0,,,,,,,,,,,,,,,,,,,
